signal_name,scope,width,x_um,y_um,source_type,cell_type
FE_PHN1096_key_c_r_10_33,test.u0,1,44.568,338.976,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1097_key_c_r_30_47,test.u0,1,195.984,356.256,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1098_key_b_r_4_14,test.u0,1,27.288,188.856,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1099_key_b_r_1_0,test.u0,1,14.976,170.496,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN109_stage1_out_29,test.u0.u0,1,119.304,132.696,net_driver,DFFHQNx1_ASAP7_75t_SL
FE_PHN1100_key_b_r_6_37,test.u0,1,34.416,256.896,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1101_key_c_r_1_32,test.u0,1,22.968,287.136,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1102_key_b_r_10_41,test.u0,1,40.464,205.056,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1103_key_b_r_14_30,test.u0,1,47.16,219.096,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1104_L3_10,test.u0.u2,1,349.128,272.016,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1105_key_b_r_8_46,test.u0,1,34.416,245.016,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1106_key_b_r_8_45,test.u0,1,34.632,282.816,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1107_uk_K_r1_7,test.u0.u1,1,77.832,225.576,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1108_uk_K_r6_26,test.u0.u2,1,350.424,178.056,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1109_stage2_out_25,test.u0.u2,1,263.592,348.696,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN110_R13_27,test.u0.u0,1,200.52,170.496,net_driver,HB4xp67_ASAP7_75t_L
FE_PHN1110_R3_2,test.u0.u2,1,359.28,247.176,net_driver,HB2xp67_ASAP7_75t_SL
FE_PHN1111_key_c_r_6_8,test.u0,1,60.12,288.216,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1112_R8_14,test.u0.u1,1,204.408,252.576,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1113_uk_K_r3_21,test.u0.u2,1,324.504,250.416,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1114_uk_K_r1_55,test.u0.u1,1,125.568,188.856,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1115_R4_14,test.u0.u1,1,141.12,255.816,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1116_uk_K_r0_45,test.u0.u1,1,79.128,222.336,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1117_uk_K_r5_53,test.u0.u1,1,156.672,225.576,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1118_key_c_r_1_42,test.u0,1,12.816,332.496,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1119_key_c_r_0_40,test.u0,1,8.064,315.216,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN111_stage2_out_58,test.u0.u2,1,302.472,296.856,net_driver,HB4xp67_ASAP7_75t_L
FE_PHN1120_key_b_r_1_37,test.u0,1,16.056,264.456,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1121_key_b_r_1_54,test.u0,1,14.76,286.056,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1122_key_c_r_19_46,test.u0,1,91.44,360.576,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1123_key_c_r_25_41,test.u0,1,125.136,353.016,net_driver,DFFHQx4_ASAP7_75t_SL
